passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,production.response,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form,familiarityTrial.started,familiarity.testName,familiarity.thisN,familiarity.sessionIndex,familiarity.audio,familiarity.previous_encounters,familiarity.playAttemptTime,familiarity.rating,familiarity.playClickCount,familiarity.t_audioEnd,familiarity.t_lastLikertClick,familiarityTrial.stopped,chunkTest_s1.thisRepN,chunkTest_s1.thisTrialN,chunkTest_s1.thisN,chunkTest_s1.thisIndex,chunkTest_s1.ran,audio,previous_encounters,GJTest_s1.thisRepN,GJTest_s1.thisTrialN,GJTest_s1.thisN,GJTest_s1.thisIndex,GJTest_s1.ran,passiveTrials_s2.thisRepN,passiveTrials_s2.thisTrialN,passiveTrials_s2.thisN,passiveTrials_s2.thisIndex,passiveTrials_s2.ran,comprehensionTrials_s2.thisRepN,comprehensionTrials_s2.thisTrialN,comprehensionTrials_s2.thisN,comprehensionTrials_s2.thisIndex,comprehensionTrials_s2.ran,productionTrials_s2.thisRepN,productionTrials_s2.thisTrialN,productionTrials_s2.thisN,productionTrials_s2.thisIndex,productionTrials_s2.ran,chunkTest_s2.thisRepN,chunkTest_s2.thisTrialN,chunkTest_s2.thisN,chunkTest_s2.thisIndex,chunkTest_s2.ran,GJTest_s2.thisRepN,GJTest_s2.thisTrialN,GJTest_s2.thisN,GJTest_s2.thisIndex,GJTest_s2.ran
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,Ab SBJ.N2 GO-INTR,,,4566.299,1,Ab-SBJ-N2-GO-INTR.mp4,Ab|N2|GO,N1|GO|HIDE|N2|Ab|N4|JUMP,zsot|murak|kávler,pekli|kávler|zsübe|murak|zsot|dabi|bonip,1,6.691,20.157,zsot murak kávler,4590.33,0,32,32,32,1,Ab-SBJ-N2-GO-INTR.mp4,Ab|N2|GO,N1|GO|HIDE|N2|Ab|N4|JUMP,zsot murak kávler,zsot|murak|kávler,pekli|kávler|zsübe|murak|zsot|dabi|bonip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,Ab SBJ.N2 GO-INTR Aa LOC.N3,,,4590.841,1,Ab-SBJ-N2-GO-INTR-Aa-LOC-N3.mp4,Ab|N2|GO|Aa|N3,N5|N2|N3|N4|GO|Aa|Ab|JUMP|REVEAL,zsot|murak|kávler|gyék|zilép,timó|murak|zilép|dabi|kávler|gyék|zsot|bonip|girda,0,8.455,40.167,zsot zilép murak kávler,4639.733,0,33,33,33,1,Ab-SBJ-N2-GO-INTR-Aa-LOC-N3.mp4,Ab|N2|GO|Aa|N3,N5|N2|N3|N4|GO|Aa|Ab|JUMP|REVEAL,zsot murak kávler gyék zilép,zsot|murak|kávler|gyék|zilép,timó|murak|zilép|dabi|kávler|gyék|zsot|bonip|girda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,Ab SBJ.N4 JUMP-INTR Ab LOC.N1,,,4640.28,1,Ab-SBJ-N4-JUMP-INTR-Ab-LOC-N1.mp4,Ab|N4|JUMP|Ab|N1,N2|HIDE|JUMP|N1|Ab|N3|Ab|N4|REVEAL,zsot|dabi|bonip|zsot|pekli,murak|zsübe|bonip|pekli|zsot|zilép|zsot|dabi|girda,0,6.684,39.217,zsot pekli bonip dabi,4685.907,0,34,34,34,1,Ab-SBJ-N4-JUMP-INTR-Ab-LOC-N1.mp4,Ab|N4|JUMP|Ab|N1,N2|HIDE|JUMP|N1|Ab|N3|Ab|N4|REVEAL,zsot dabi bonip zsot pekli,zsot|dabi|bonip|zsot|pekli,murak|zsübe|bonip|pekli|zsot|zilép|zsot|dabi|girda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,Aa SBJ.N4 HIDE-INTR LOC.N3,,,4686.446,1,Aa-SBJ-N4-HIDE-INTR-LOC-N3.mp4,Aa|N4|HIDE|N3,Aa|Ab|N4|JUMP|N2|N3|HIDE|PUSH,gyék|dabi|zsübe|zilép,gyék|zsot|dabi|bonip|murak|zilép|zsübe|vánta,0,9.181,52.756,zilép dabi zsübe gyék,4744.462,0,35,35,35,1,Aa-SBJ-N4-HIDE-INTR-LOC-N3.mp4,Aa|N4|HIDE|N3,Aa|Ab|N4|JUMP|N2|N3|HIDE|PUSH,gyék dabi zsübe zilép,gyék|dabi|zsübe|zilép,gyék|zsot|dabi|bonip|murak|zilép|zsübe|vánta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,Aa SBJ.N5 GO-INTR Ab LOC.N4,,,4744.997,1,Aa-SBJ-N5-GO-INTR-Ab-LOC-N4.mp4,Aa|N5|GO|Ab|N4,N3|Aa|Ab|N5|REVEAL|PUSH|N4|HIDE|GO,gyék|timó|kávler|zsot|dabi,zilép|gyék|zsot|timó|girda|vánta|dabi|zsübe|kávler,0,8.021,68.079,zsot dabi vánta timó,4818.153,0,36,36,36,1,Aa-SBJ-N5-GO-INTR-Ab-LOC-N4.mp4,Aa|N5|GO|Ab|N4,N3|Aa|Ab|N5|REVEAL|PUSH|N4|HIDE|GO,gyék timó kávler zsot dabi,gyék|timó|kávler|zsot|dabi,zilép|gyék|zsot|timó|girda|vánta|dabi|zsübe|kávler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,Ab SBJ.N5 JUMP-INTR Aa LOC.N3,,,4818.724,1,Ab-SBJ-N5-JUMP-INTR-Aa-LOC-N3.mp4,Ab|N5|JUMP|Aa|N3,Ab|N3|GO|N1|JUMP|REVEAL|Aa|N5|PUSH,zsot|timó|bonip|gyék|zilép,zsot|zilép|kávler|pekli|bonip|girda|gyék|timó|vánta,0,9.218,62.325,zsot pekli bonip gyék timó,4886.675,0,37,37,37,1,Ab-SBJ-N5-JUMP-INTR-Aa-LOC-N3.mp4,Ab|N5|JUMP|Aa|N3,Ab|N3|GO|N1|JUMP|REVEAL|Aa|N5|PUSH,zsot timó bonip gyék zilép,zsot|timó|bonip|gyék|zilép,zsot|zilép|kávler|pekli|bonip|girda|gyék|timó|vánta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,SBJ.N5 HIDE-INTR Aa LOC.N3,,,4887.25,1,SBJ-N5-HIDE-INTR-Aa-LOC-N3.mp4,N5|HIDE|Aa|N3,N3|Aa|REVEAL|N5|GO|HIDE|Ab|PUSH,timó|zsübe|gyék|zilép,zilép|gyék|girda|timó|kávler|zsübe|zsot|vánta,0,7.289,30.489,zsot zilép zsübe timó,5138.642,0,38,38,38,1,SBJ-N5-HIDE-INTR-Aa-LOC-N3.mp4,N5|HIDE|Aa|N3,N3|Aa|REVEAL|N5|GO|HIDE|Ab|PUSH,timó zsübe gyék zilép,timó|zsübe|gyék|zilép,zilép|gyék|girda|timó|kávler|zsübe|zsot|vánta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,OBJ.N5 SBJ.N2 PUSH-TR LOC.N1,,,5139.205,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp4,N5|N2|PUSH|N1,Aa|Ab|N2|PUSH|N4|N5|N1|HIDE,timó|murak|vánta|pekli,gyék|zsot|murak|vánta|dabi|timó|pekli|zsübe,0,8.524,40.46,timó vánta murak gyék pekli,5186.74,0,39,39,39,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp4,N5|N2|PUSH|N1,Aa|Ab|N2|PUSH|N4|N5|N1|HIDE,timó murak vánta pekli,timó|murak|vánta|pekli,gyék|zsot|murak|vánta|dabi|timó|pekli|zsübe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N2,,,5187.345,1,OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N2.mp4,N5|N4|HIDE|Ab|N2,HIDE|REVEAL|N4|N2|GO|Ab|Aa|PUSH|N5,timó|dabi|zsübe|zsot|murak,zsübe|girda|dabi|murak|kávler|zsot|gyék|vánta|timó,0,11.33,79.051,gyék timó dabi zsübe zsot murak,5271.812,0,40,40,40,1,OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N2.mp4,N5|N4|HIDE|Ab|N2,HIDE|REVEAL|N4|N2|GO|Ab|Aa|PUSH|N5,timó dabi zsübe zsot murak,timó|dabi|zsübe|zsot|murak,zsübe|girda|dabi|murak|kávler|zsot|gyék|vánta|timó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,268039,,2026-04-27_17h11.22.286,BrocantoHPilot1WOSession3,2025.2.4,Win32,120.1923077,,,,,,,,,,,,,,,Ab OBJ.N5 SBJ.N1 HIDE-TR,,,5272.343,1,Ab-OBJ-N5-SBJ-N1-HIDE-TR.mp4,Ab|N5|N1|HIDE,Ab|HIDE|PUSH|N5|N1|Aa|N2|N3,zsot|timó|pekli|zsübe,zsot|zsübe|vánta|timó|pekli|gyék|murak|zilép,0,9.743,43.693,timó pekli zsübe,5327.952,0,41,41,41,1,Ab-OBJ-N5-SBJ-N1-HIDE-TR.mp4,Ab|N5|N1|HIDE,Ab|HIDE|PUSH|N5|N1|Aa|N2|N3,zsot timó pekli zsübe,zsot|timó|pekli|zsübe,zsot|zsübe|vánta|timó|pekli|gyék|murak|zilép,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
