wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,production.response,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form,familiarityTrial.started,familiarity.testName,familiarity.thisN,familiarity.sessionIndex,familiarity.audio,familiarity.previous_encounters,familiarity.playAttemptTime,familiarity.rating,familiarity.playClickCount,familiarity.t_audioEnd,familiarity.t_lastLikertClick,familiarityTrial.stopped,chunkTest_s1.thisRepN,chunkTest_s1.thisTrialN,chunkTest_s1.thisN,chunkTest_s1.thisIndex,chunkTest_s1.ran,audio,previous_encounters,GJTest_s1.thisRepN,GJTest_s1.thisTrialN,GJTest_s1.thisN,GJTest_s1.thisIndex,GJTest_s1.ran,passiveTrials_s2.thisRepN,passiveTrials_s2.thisTrialN,passiveTrials_s2.thisN,passiveTrials_s2.thisIndex,passiveTrials_s2.ran,comprehensionTrials_s2.thisRepN,comprehensionTrials_s2.thisTrialN,comprehensionTrials_s2.thisN,comprehensionTrials_s2.thisIndex,comprehensionTrials_s2.ran,productionTrials_s2.thisRepN,productionTrials_s2.thisTrialN,productionTrials_s2.thisN,productionTrials_s2.thisIndex,productionTrials_s2.ran
,,,,,,,,,,,,697.525,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,716.753,mouse_continue,19.227,,0,10,10,10,1,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,716.756,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,739.405,mouse_continue,22.649,,0,11,11,11,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,739.407,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,788.281,mouse_continue,48.873,,0,12,12,12,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,788.284,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,819.221,mouse_continue,30.936,,0,13,13,13,1,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,819.224,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,829.545,mouse_continue,10.32,,0,14,14,14,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,829.549,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,854.349,mouse_continue,24.799,,0,15,15,15,1,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,854.35,1,SBJ-N4-REVEAL-INTR.mp4,SBJ-N4-REVEAL-INTR.mp3,881.389,mouse_continue,27.039,,0,16,16,16,1,1,SBJ-N4-REVEAL-INTR.mp4,SBJ-N4-REVEAL-INTR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,881.393,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,902.346,mouse_continue,20.952,,0,17,17,17,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,902.349,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,913.978,mouse_continue,11.63,,0,18,18,18,1,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,913.981,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,928.012,mouse_continue,14.03,,0,19,19,19,1,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,928.016,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,933.917,mouse_continue,5.901,,0,20,20,20,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,933.919,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,952.349,mouse_continue,18.43,,0,21,21,21,1,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,952.351,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp3,967.227,mouse_continue,14.876,,0,22,22,22,1,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,967.23,1,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,SBJ-N4-REVEAL-INTR-LOC-N5.mp3,973.787,mouse_continue,6.557,,0,23,23,23,1,1,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,SBJ-N4-REVEAL-INTR-LOC-N5.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,973.789,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp3,979.691,mouse_continue,5.903,,0,24,24,24,1,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,979.693,1,SBJ-N2-REVEAL-INTR-LOC-N5.mp4,SBJ-N2-REVEAL-INTR-LOC-N5.mp3,991.1,mouse_continue,11.408,,0,25,25,25,1,1,SBJ-N2-REVEAL-INTR-LOC-N5.mp4,SBJ-N2-REVEAL-INTR-LOC-N5.mp3,ALP1105,19660429,2026-04-24_12h46.28.539,BrocantoHPilot1WOSession2,2025.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
