participant_unique_id,comprehension_rt_diff,comprehension_acc_diff,production_rt_diff,production_acc_diff,gj_likert_sens,chunk_likert_sens
ALP1102,2.1143333333333336,0.03508771929824561,-0.9308333333333341,0.026719576719576737,2.0791741073048935,0.7866149543633766
ALP1103,0.0497999999999994,0.018970503181029514,-0.5379833333333336,-0.01931216931216928,0.6832752277826859,1.6518581238447592
ALP1105,2.3751666666666673,0.09390784653942548,4.065999999999999,0.1007936507936508,-0.6703667304372134,-0.7721973450872213
ALP1109,2.8356666666666634,0.35353769037979565,-0.2810000000000006,0.08809523809523812,0.6987689974695451,0
ALP1111,-1.6750000000000007,-0.07509157509157509,4.385666666666666,0.09417989417989421,1.6049271780615866,1.0259574085273306
ALP1116,-0.9470833333333312,-0.04945054945054942,0.3398999999999998,0.04920634920634922,2.850748386748881,0.9917006946949063
ALP1120,1.9532,0.06842105263157894,3.0913000000000004,-0.07248677248677245,3.1557576315618014,0.6760028159093776
ALP1122,-0.1919000000000004,0,0.21976666666666578,0.0362433862433863,3.098541088229526,0.7306777726891573
ALP1123,3.500816666666665,0.11127819548872182,6.716666666666667,0.07592592592592595,2.030891272703542,0.3633020614068707
ALP1124,NA,NA,NA,NA,NA,NA
ALP1125,3.778083333333335,-0.02990167727009833,11.549833333333334,0.080952380952381,0,0.32734338027763843
missing-1961-02-18,NA,NA,NA,NA,NA,NA
missing-1964-11-05,5.749999999999999,0.061596298438403675,-2.6880000000000006,0.12804232804232804,0.8272207905952116,1.1517244571738328
missing-2001-04-20,-0.2628166666666662,0.033333333333333326,-2.1426333333333334,0.037037037037037056,3.032650436880928,1.8019473613328
missing-2006-01-15,NA,NA,NA,NA,NA,NA
missing-2006-09-19,-0.28451666666666703,0.19899749373433587,-2.2123500000000003,0.0039682539682539915,1.2754205125775597,0.44569676388271956
missing-2008-05-13,NA,NA,NA,NA,NA,NA
